"values_r","values_R_consensus","values_R_hzi"
-0.182,0.298411114874177,0.0482568608931925
-0.181,0.30158113638044,0.0495233456038143
-0.18,0.304765392281328,0.0508172624270474
-0.179,0.307963736198985,0.0521390148192689
-0.178,0.311176021607208,0.053489006650206
-0.177,0.31440210188864,0.0548676420533903
-0.176,0.317641830390886,0.0562753252755151
-0.175,0.320895060481524,0.0577124605248647
-0.174,0.324161645601978,0.0591794518189888
-0.173,0.327441439320254,0.0606767028317966
-0.172,0.330734295382491,0.0622046167402494
-0.171,0.334040067763335,0.0637635960708289
-0.17,0.337358610715102,0.0653540425459645
-0.169,0.340689778815721,0.0669763569305994
-0.168,0.344033427015458,0.0686309388790788
-0.167,0.347389410682387,0.070318186782544
-0.166,0.350757585646614,0.0720384976170142
-0.165,0.354137808243251,0.0737922667923382
-0.164,0.35752993535412,0.0755798880021982
-0.163,0.360933824448197,0.0774017530753466
-0.162,0.364349333620785,0.0792582518282526
-0.161,0.367776321631416,0.0811497719193364
-0.16,0.371214647940495,0.0830766987049647
-0.159,0.374664172744666,0.0850394150973795
-0.158,0.378124757010922,0.0870383014247269
-0.157,0.381596262509463,0.0890737352933518
-0.156,0.38507855184529,0.0911460914525185
-0.155,0.388571488488569,0.0932557416617135
-0.154,0.392074936803748,0.0954030545606831
-0.153,0.39558876207746,0.0975883955423513
-0.152,0.399112830545203,0.0998121266287613
-0.151,0.402647009416819,0.102074606350176
-0.15,0.406191166900785,0.104376189627466
-0.149,0.409745172227325,0.106717227657917
-0.148,0.413308895670361,0.109098067804562
-0.147,0.416882208568319,0.111519053489163
-0.146,0.420464983343799,0.113980524088938
-0.145,0.424057093522137,0.116482814837139
-0.144,0.427658413748865,0.119026256727564
-0.143,0.4312688198061,0.12161117642309
-0.142,0.434888188627863,0.124237896168316
-0.141,0.438516398314365,0.126906733706358
-0.14,0.442153328145271,0.129618002199884
-0.139,0.44579885859196,0.132372010156435
-0.138,0.449452871328805,0.135169061358071
-0.137,0.453115249243496,0.138009454795391
-0.136,0.45678587644642,0.140893484605954
-0.135,0.460464638279128,0.143821440017132
-0.134,0.464151421321903,0.146793605293395
-0.133,0.467846113400455,0.149810259688062
-0.132,0.471548603591763,0.152871677399497
-0.131,0.475258782229093,0.155978127531756
-0.13,0.478976540906195,0.159129874059674
-0.129,0.482701772480728,0.16232717579837
-0.128,0.486434371076917,0.165570286377137
-0.127,0.490174232087463,0.168859454217698
-0.126,0.493921252174743,0.172194922516778
-0.125,0.497675329271306,0.175576929232949
-0.124,0.501436362579701,0.1790057070777
-0.123,0.505204252571641,0.182481483510669
-0.122,0.508978900986552,0.186004480738979
-0.121,0.512760210829496,0.189574915720603
-0.12,0.516548086368514,0.193193000171696
-0.119,0.520342433131408,0.196858940577801
-0.118,0.524143157901961,0.200572938208856
-0.117,0.527950168715648,0.204335189137914
-0.116,0.531763374854836,0.208145884263478
-0.115,0.535582686843495,0.212005209335363
-0.114,0.539408016441455,0.215913344983987
-0.113,0.54323927663821,0.219870466752974
-0.112,0.5470763816463,0.22387674513499
-0.111,0.550919246894289,0.227932345610684
-0.11,0.554767789019351,0.232037428690627
-0.109,0.558621925859493,0.236192149960147
-0.108,0.56248157644542,0.240396660126937
-0.107,0.566346660992073,0.244651105071323
-0.106,0.570217100889851,0.24895562589908
-0.105,0.574092818695527,0.25331035899667
-0.104,0.577973738122893,0.257715436088792
