date,R.consensus,lower.consensus,upper.consensus,R.SDSC,upper.SDSC,lower.SDSC,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.globalrt,lower.globalrt,upper.globalrt,R.rtlive,lower.rtlive,upper.rtlive
2021-01-16,0.8888385771645844,0.8832129105013413,0.8944880818999341,0.860015274102824,0.8654655275166407,0.8545879507849683,0.9056998287206813,0.8616917149447778,0.9497079424965849,0.8319051214958555,0.8266286303177841,0.8371816126739269,0.8531250131410693,0.7870685971852388,0.92464880015191,0.8780721810180268,0.744138793130368,1.0155921213093353,0.87,0.773,0.974
2021-01-17,0.8989361938157298,0.8931984460069614,0.9046984613540215,0.860602169075892,0.8661395850615285,0.8550884048023355,0.9065831222774697,0.8602915921407115,0.952874652414228,0.8467378286340944,0.8413216909392524,0.8521539663289365,0.855145749044145,0.7876010892913781,0.9255800643546297,0.8604936268693443,0.7231953475005444,0.994528611665792,0.869,0.778,0.976
2021-01-18,0.8978637628058375,0.8920579921076995,0.9036946694488558,0.8611234351888566,0.8667490593994807,0.8555222058404035,0.9061108099712912,0.8573140408409107,0.9549075791016718,0.8534227008021098,0.8478923338161948,0.8589530677880248,0.8585872863743882,0.7909109353224284,0.9311226262734753,0.8387350578894426,0.7010039174624797,0.9731037077637648,0.875,0.778,0.99
2021-01-19,0.890416806802275,0.8845625729318323,0.8962968136311981,0.8617105449828539,0.8674256053351118,0.8560206425064174,0.904613917360565,0.854125830785908,0.9551020039352219,0.852600985869377,0.8469830247756353,0.8582189469631188,0.862078091949264,0.7944934348670557,0.937021174093422,0.8265720261799101,0.6916573829114384,0.9607189939592916,0.878,0.777,0.986
2021-01-20,0.87762685837896115,0.8717347816826275,0.8835454252492986,0.8625939600044291,0.868400457446672,0.8568134035931887,0.9020297093206929,0.8513783743029475,0.9526810443384384,0.8431338536894099,0.8374606093098117,0.848807098069008,0.865452149949592,0.7988612296451201,0.9396033452494065,0.8265353516455229,0.6927000089810595,0.961543383851202,0.88,0.783,0.992
2021-01-21,0.8682353667999513,0.8622828379356627,0.8742152272542558,0.8638595148366589,0.869759795085895,0.857985979359933,0.8986331235765623,0.8494460737993599,0.9478201733537648,0.8325401287964802,0.8268192008166898,0.8382610567762706,0.8684519506065456,0.8024431431296178,0.9428223359191638,0.8351787571159766,0.700695222927425,0.9694838877061144,0.887,0.788,1.007
2021-01-22,0.869890975351207,0.8638306356961297,0.8759795937911499,0.865446921004527,0.8714430664713259,0.8594783439876974,0.8946096951749847,0.8480652953566846,0.9411540949932847,0.8295510281255617,0.8237582256306704,0.835343830620453,0.8707635831331992,0.8039288361016987,0.9463043605194033,0.8422629610731538,0.7073868355796954,0.9785592784865648,0.892,0.788,1.015
2021-01-23,0.88059052223017,0.8743904407944165,0.886819843437899,0.8671901881142745,0.8732835168891904,0.8611252695910602,0.8901835999956399,0.8461642858982259,0.9342029140930539,0.8362152494048537,0.8303137037641509,0.8421167950455565,0.8730912825439376,0.8036157491859091,0.9487379790419592,0.841230140867137,0.7066942673004323,0.9775039379650552,0.896,0.79,1.024
2021-01-24,0.89769213309772,0.8913378528773576,0.9040765412602664,0.8689253882586084,0.8751163989009598,0.8627636455799141,0.8856739368790341,0.843170346023908,0.9281775277341602,0.8529789565386309,0.8469268430408574,0.8590310700364043,0.8748316374417204,0.8058744307481898,0.9500715010254285,0.8266236919151382,0.6899859548528409,0.9669205860457054,0.902,0.799,1.029
2021-01-25,0.9095750304519371,0.9030993203028214,0.9160816230963847,0.8705313636003317,0.8768199216751459,0.8642729453800828,0.8811001802027624,0.8389309477921962,0.9232694126133285,0.8701740955787495,0.8639641066738849,0.876384084483614,0.8751763410749596,0.8053681729419575,0.9493856397946041,0.8115425674430928,0.676954457889656,0.948275716569316,0.908,0.802,1.035
2021-01-26,0.8894031543641554,0.8829317520486668,0.8959061009048294,0.8718484792429968,0.8782337638330182,0.8654942198205343,0.8766444292980539,0.833606148190619,0.9196827104054888,0.8593505880585651,0.8530825904991426,0.8656185856179877,0.8766869491039367,0.8064280746612239,0.9509638734406493,0.8078673158000647,0.672505639773564,0.9440916108236708,0.915,0.798,1.034
2021-01-27,0.8822549629709087,0.875722269924891,0.888820063815645,0.8725924424503128,0.8790725637220693,0.8661442453748568,0.8727572066615802,0.828187605760125,0.9173268075630354,0.8543851608206845,0.8480431156952917,0.8607272059460773,0.8782571238291124,0.8087229799615814,0.9519542244928666,0.8030525019284407,0.6672380227416698,0.93654277454957,0.922,0.815,1.042
